bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
141.0,80,80,141,80,141,100.33333333333331,0.0,0.0,4808.076290273629,80.0,0,0.5,2,0,0,5
697.1428571428571,54,54,4880,621,60,393.53333333333336,186.45270010112483,659.8587356551462,17247.323640783507,127.875,3,0.875,1,3,1,2
839.6176470588235,54,54,28547,1730,60,630.52,402.03843391366206,600.1210179281921,3486.568648442048,186.1875,24,2.125,5,3,2,8
0.0,64,64,0,64,0,64.0,0.0,0.0,448.7522583691128,64.0,0,0.0,3,0,0,1
0.0,216,216,0,216,0,216.0,0.0,0.0,356.56944536613247,216.0,0,0.0,5,0,0,8
57.68,54,60,2884,1514,54,902.3024691358024,226.27969400783752,25.76,58375.816325380816,1280.855855855856,99,0.4553571428571428,112,0,0,6
66.0,60,60,66,60,66,62.0,0.0,0.0,370.9169225860487,60.0,0,0.5,2,1,0,0
345.0,54,54,5175,1744,60,297.55555555555554,459.05557488536544,495.9719078066149,17185.578146892414,238.25,10,1.25,5,3,2,7
1307.545205479452,54,54,477254,589,60,978.9959677419356,60.22198509742154,305.4237321748962,105078.01401250812,63.57251908396947,193,2.786259541984733,6,3,0,2
152.0,74,74,152,74,152,100.0,0.0,0.0,25037.556334501754,74.0,0,0.5,2,0,0,1
68.33333333333333,54,54,205,54,60,61.16666666666666,0.0,11.785113019775793,19406.69451641901,54.0,1,1.0,0,0,3,6
54.85931558935361,54,60,42636,1514,54,1161.5425158116657,296.0305295364552,10.474870891359194,812864.2173967402,1342.5982049676477,1689,0.1617329935306802,5011,0,0,6
521.5454545454545,54,54,11474,2668,60,436.2432432432432,640.4639845889507,598.0406437444263,12123.010135680675,311.1333333333333,16,1.4666666666666666,8,3,0,1
54.34649910233393,54,60,29785,1514,54,1051.7738184546135,169.34601316218803,6.625984138672364,1423283.1867437116,1318.9061740398638,1602,0.2643151626202473,2150,0,0,6
639.5,54,54,7674,618,60,415.6818181818182,171.66039147106707,595.4981807976691,43700.362218420574,147.1,8,1.2,3,3,0,9
0.0,66,66,0,66,0,66.0,0.0,0.0,23.802521300100924,66.0,0,0.0,0,4,0,5
91.0,75,75,91,75,91,80.33333333333333,0.0,0.0,12190.187152250886,75.0,0,0.5,2,0,0,7
671.1666666666666,54,54,4027,571,60,380.46153846153845,179.588986526548,622.7847184666267,133254.3039577552,131.28571428571428,3,0.8571428571428571,1,3,1,6
54.0,54,114,12420,1514,54,1113.9028452463567,274.2398745199591,0.0,822339.2426956575,1316.2479338842977,541,0.1910204081632653,1221,0,0,3
68.33333333333333,54,54,205,54,60,61.16666666666666,0.0,11.785113019775793,15037.285913300007,54.0,1,1.0,0,0,3,9
72.6046511627907,62,62,6244,590,62,388.60165975103735,112.59863688382616,42.89611005017182,26626.94219053817,563.9290322580645,0,0.554140127388535,156,0,0,0
1352.9129809421072,54,54,3762451,206,60,1195.8141592920354,11.091574961597733,280.5575028127632,1909329.5115347835,55.10443864229765,904,7.261096605744125,4,0,0,6
488.8894472361809,65,65,97289,1242,86,833.409604519774,464.2096510842872,503.8858826688447,10509.477790874833,968.1041257367388,0,0.3920454545454545,515,0,0,2
54.0,54,314,10692,1514,54,979.8186738836264,260.6263603217964,0.0,373308.68070343096,1321.0260223048326,232,0.3708487084870848,540,0,0,9
608.5833333333334,54,54,7303,374,60,387.77272727272725,108.97412536928204,594.0373807448672,49077.81344562954,122.8,8,1.2,3,3,0,1
589.0,95,95,589,95,589,259.6666666666667,0.0,0.0,755.17278818712,95.0,0,0.5,2,0,0,4
54.0,54,60,54,78,54,67.5,8.48528137423857,0.0,35681.24752213559,72.0,2,0.3333333333333333,3,0,1,9
54.5796178343949,54,60,8569,1514,54,904.9814814814816,157.57604769559694,7.239424431264386,179690.25135006386,1310.796352583587,263,0.4617647058823529,332,0,0,6
494.0,91,91,494,91,494,225.3333333333333,0.0,0.0,4783.842501185346,91.0,0,0.5,2,0,0,4
60.0,54,54,120,54,60,56.4,0.0,0.0,6493.80555427624,54.0,0,0.6666666666666666,0,0,3,7
352.0,146,146,352,146,352,197.5,0.0,0.0,347.84614984947945,146.0,0,0.3333333333333333,3,0,0,0
0.0,66,66,0,66,0,66.0,0.0,0.0,46.871977290100894,66.0,0,0.0,0,5,0,9
54.0,54,60,108,78,54,64.0,9.0,0.0,24144.869215291747,69.0,2,0.5,4,0,2,6
1314.8001179245282,54,54,2191675,71,60,1075.9714149595045,4.186545686275104,363.5334482796102,500575.6970345156,55.15324675324676,619,4.275609756097561,33,0,0,0
76.5,54,54,612,97,60,77.23529411764706,21.36687178499799,16.5,28.60853469068084,77.88888888888889,9,0.8888888888888888,5,0,0,4
60.0,55,55,60,55,60,56.66666666666666,0.0,0.0,199764.98237367804,55.0,0,0.5,2,0,0,4
60.0,60,63,420,63,60,61.6,0.0,0.0,258.26655624187504,63.0,8,0.875,8,0,0,0
1352.539911308204,54,54,1219991,54,114,1123.1067873303168,0.0,311.6949694016968,629360.3112394701,54.0,264,4.58,0,0,0,3
75.0,54,54,300,200,60,77.0909090909091,49.964885628993166,25.98076211353316,1523.8861973288865,78.28571428571429,2,0.5714285714285714,1,3,1,8
